"tconst" "averageRating" "numVotes" "titleType" "primaryTitle" "originalTitle" "isAdult" "startYear" "endYear" "runtimeMinutes" "genres"
"tt0066256" 6.7 920 "movie" "Pufnstuf" "Pufnstuf" 0 1970 NA 98 "Adventure,Comedy,Family"
"tt10295834" 7.5 11 "movie" "Sunburned" "Sunburned" 0 2019 NA 92 "Drama"
"tt2113754" 5.1 7 "movie" "Samson and Delilah" "Samson and Delilah" 0 2008 NA 180 "Drama,Music"
"tt0091652" 6.2 96 "movie" "Not Quite Paradise" "Not Quite Paradise" 0 1985 NA 114 "Drama,Romance"
"tt2053389" 6.3 7 "movie" "Majaajan" "Majaajan" 0 2008 NA 139 "Romance"
"tt6411322" 7.3 134 "movie" "Irving Berlin's Holiday Inn The Broadway Musical" "Holiday Inn: The New Irving Berlin Musical - Live" 0 2017 NA 128 "Musical"
"tt0258686" 5.7 9 "movie" "J'ai gagné un million" "J'ai gagné un million" 0 1936 NA 70 "Comedy"
"tt0068461" 4.8 29 "movie" "Decameron n° 2 - Le altre novelle del Boccaccio" "Decameron n° 2 - Le altre novelle del Boccaccio" 0 1972 NA 98 "Comedy"
"tt2363303" 3.9 332 "movie" "Mörkt vatten" "Mörkt vatten" 0 2012 NA 80 "Drama,Thriller"
"tt1569530" 4.5 6 "movie" "Un jour un tueur" "Un jour un tueur" 0 1979 NA 86 "Crime"
"tt0876532" 6.7 31 "movie" "Quelques veuves de Noirmoutier" "Quelques veuves de Noirmoutier" 0 2006 NA 69 "Documentary"
"tt2363119" 2.9 69 "movie" "Camera Phone" "Camera Phone" 0 2012 NA 80 "Horror"
"tt0448400" 5.3 3023 "movie" "Grimm Love" "Rohtenburg" 0 2006 NA 87 "Crime,Drama,Horror"
"tt9270362" 8.1 10 "movie" "The Amusement Park" "The Amusement Park" 0 1973 NA 60 "Drama,Horror,Thriller"
"tt0210575" 5.4 20 "movie" "The Blue Lagoon" "The Blue Lagoon" 0 1923 NA 80 "Drama"
"tt0193122" 5.4 22 "movie" "Dushman Zamana" "Dushman Zamana" 0 1992 NA 129 "Action,Romance"
"tt0165755" 3.6 34 "movie" "Empire of the Spiritual Ninja" "Empire of the Spiritual Ninja" 0 1988 NA 90 "Action,Drama"
"tt9020228" 7.6 14 "movie" "Father the Flame" "Father the Flame" 0 2018 NA 78 "Documentary"
"tt1636422" 6.6 65 "movie" "Before" "Antes" 0 2010 NA 90 "Drama"
"tt8942962" 5.4 5 "movie" "Dost" "Dost" 0 2001 NA 122 "Drama"
"tt4835658" 6.9 35 "movie" "Alif" "Alif" 0 2015 NA 100 "Drama"
"tt4578598" 3 211 "movie" "Behind the Walls" "Behind the Walls" 0 2018 NA 91 "Horror"
"tt0286479" 6.9 10 "movie" "Bayka" "Bayka" 0 1987 NA 87 "Comedy"
